ID,Description,Start Time,End Time,Duration
1,"buy bread","START_TIMESTAMP","END_TIMESTAMP","0:00:39"
2,"buy bread","START_TIMESTAMP","END_TIMESTAMP","0:00:56"
3,"buy bread","START_TIMESTAMP","END_TIMESTAMP","0:01:21"
4,"buy milk ","START_TIMESTAMP","END_TIMESTAMP","0:00:12"
5,"buy bread","START_TIMESTAMP","END_TIMESTAMP","0:00:45"
6,"buy paper","START_TIMESTAMP","END_TIMESTAMP","0:00:41"
7,"do the homework","START_TIMESTAMP","END_TIMESTAMP","0:00:44"
8,"buy milk","START_TIMESTAMP","END_TIMESTAMP","0:00:22"
9,"buy grocery ","START_TIMESTAMP","END_TIMESTAMP","0:00:21"
10,"buy bread","START_TIMESTAMP","END_TIMESTAMP","0:00:30"
11,"buy milk","START_TIMESTAMP","END_TIMESTAMP","0:00:31"
12,"buy bread","START_TIMESTAMP","END_TIMESTAMP","0:00:24"
13,"buy grocery","START_TIMESTAMP","END_TIMESTAMP","0:00:11"
14,"buy a sandwich","START_TIMESTAMP","END_TIMESTAMP","0:00:10"
